,class,red,green,blue,lst,vod,ndbal,msr_re,cl_re,ndvi_re,evi,ndvi,lon,lat
62,0,102.0,91.0,85.0,28458.0,358.0,0.730003,0.25719628,0.6925013,0.25719625,-5.677332,0.31400603,29.73452743915288,-2.056289541322319
63,0,89.0,85.0,77.0,28458.0,358.0,0.730003,0.25719628,0.6925013,0.25719625,-5.677332,0.31400603,29.73456425809331,-2.056268411128391
64,0,91.0,82.0,79.0,28458.0,358.0,0.730003,0.25719628,0.6925013,0.25719625,-6.1990776,0.30601403,29.73451644758874,-2.0562288868495178
65,0,124.0,107.0,97.0,28458.0,358.0,0.8985422,0.19930069,0.49781656,0.1993007,3.9608235,0.21663338,29.73504532180179,-2.056354648902614
66,0,123.0,102.0,89.0,28458.0,358.0,0.74041384,0.24776912,0.65875816,0.24776913,-2.6483278,0.3049058,29.73480436176913,-2.0565125469216983
67,0,114.0,97.0,83.0,28449.0,343.0,0.8420117,0.24805832,0.65978074,0.24805833,5.095708,0.29724243,29.718400793429534,-2.099083881274038
68,0,91.0,82.0,72.0,28449.0,343.0,0.76238596,0.27759406,0.76852655,0.2775941,-28.130192,0.35315597,29.718328671476122,-2.0998507790318595
69,0,92.0,82.0,76.0,28449.0,343.0,0.76238596,0.27759406,0.76852655,0.2775941,-36.73367,0.26914582,29.71829693312603,-2.099782106613454
70,0,126.0,121.0,116.0,28449.0,343.0,0.75560075,0.27367052,0.7535714,0.27367055,-28.130192,0.35315597,29.71825409340823,-2.0998403055793053
71,0,114.0,85.0,76.0,28449.0,343.0,0.79917073,0.24043715,0.6330935,0.24043716,7.299922,0.3187447,29.718673804025894,-2.1003955911663668
72,0,112.0,91.0,76.0,28449.0,343.0,0.75940996,0.25703326,0.6919105,0.25703326,7.299922,0.3187447,29.718633318879103,-2.100395747000152
73,0,127.0,123.0,117.0,28449.0,343.0,0.87918156,0.21641164,0.55236053,0.21641164,-68.77907,0.22025694,29.718917987901683,-2.1003225967618446
74,0,189.0,182.0,172.0,28449.0,343.0,1.0044596,0.1866148,0.45885956,0.18661478,0.99870896,0.16546983,29.718235571613462,-2.1008474867204967
75,0,204.0,199.0,193.0,28449.0,343.0,1.0044596,0.1866148,0.45885956,0.18661478,0.99870896,0.16546983,29.718204355037145,-2.100879002692593
76,0,119.0,101.0,88.0,28449.0,343.0,0.97266924,0.19834712,0.4948454,0.1983471,1.9246862,0.23757263,29.71808690575444,-2.1009900712074
77,0,87.0,77.0,71.0,28449.0,343.0,1.0044596,0.1866148,0.45885956,0.18661478,1.9246862,0.23757263,29.718124162514375,-2.1010064857901702
78,0,90.0,77.0,70.0,28449.0,343.0,1.0044596,0.1866148,0.45885956,0.18661478,1.9156051,0.20427917,29.718137497114572,-2.1009675103812175
79,0,100.0,78.0,74.0,28449.0,343.0,1.0044596,0.1866148,0.45885956,0.18661478,1.6477274,0.21573813,29.718191025620055,-2.1009209738458923
80,0,156.0,152.0,142.0,28449.0,343.0,0.9129251,0.19318183,0.47887325,0.19318181,3.5056343,0.2414375,29.718858163790753,-2.100925798820093
81,0,88.0,77.0,71.0,28449.0,343.0,0.85005283,0.2197714,0.5633513,0.21977137,5.9564595,0.28111842,29.718944206256044,-2.100736881266644
82,0,95.0,86.0,76.0,28449.0,343.0,0.85005283,0.2197714,0.5633513,0.21977137,5.9564595,0.28111842,29.71891441331331,-2.1007309410334454
83,0,83.0,75.0,68.0,28449.0,343.0,0.7441273,0.29379085,0.8320222,0.29379085,96.74157,0.30827066,29.718484179687632,-2.101560468573819
84,0,105.0,90.0,81.0,28449.0,343.0,0.7441273,0.29379085,0.8320222,0.29379085,96.74157,0.30827066,29.71848030276659,-2.1015230812912615
85,0,110.0,93.0,84.0,28449.0,343.0,0.82953346,0.241402,0.63644254,0.241402,195.40817,0.33240756,29.718309564173584,-2.10143996371466
86,0,76.0,62.0,54.0,28449.0,343.0,0.82953346,0.241402,0.63644254,0.241402,12.240602,0.2869228,29.71829713559322,-2.1014169737426966
87,0,92.0,81.0,68.0,28449.0,343.0,0.7927448,0.25601402,0.68822265,0.25601402,12.240602,0.2869228,29.71827329937598,-2.101411262557137
88,0,90.0,77.0,63.0,28449.0,343.0,0.94871074,0.18420176,0.4515866,0.18420179,12.240602,0.2869228,29.718316119379796,-2.10137283555837
89,0,87.0,77.0,68.0,28449.0,343.0,0.8650576,0.22760943,0.5893636,0.22760943,40.409485,0.32693985,29.71894195134737,-2.1017399233274316
90,0,92.0,81.0,71.0,28449.0,343.0,0.8650576,0.22760943,0.5893636,0.22760943,1295.0,0.32173914,29.718878954663126,-2.1016844220292
91,0,93.0,81.0,71.0,28449.0,343.0,0.8650576,0.22760943,0.5893636,0.22760943,40.409485,0.32693985,29.7188952278895,-2.1017256228655796
92,0,98.0,86.0,78.0,28449.0,343.0,0.8650576,0.22760943,0.5893636,0.22760943,12.560521,0.24820608,29.718926518302126,-2.1016335220251867
93,0,62.0,48.0,41.0,28449.0,343.0,0.8650576,0.22760943,0.5893636,0.22760943,12.560521,0.24820608,29.718937073224655,-2.1016747319758737
94,0,99.0,102.0,98.0,28449.0,343.0,0.8650576,0.22760943,0.5893636,0.22760943,14.0070095,0.22398655,29.718953138971465,-2.1015960813228403
95,0,99.0,89.0,81.0,28449.0,343.0,0.9949789,0.20375377,0.51178586,0.20375378,2.993967,0.21226163,29.718835470466818,-2.1025547427094895
96,0,93.0,83.0,76.0,28449.0,343.0,0.9949789,0.20375377,0.51178586,0.20375378,2.993967,0.21226163,29.718824608168518,-2.1025803643785723
97,0,96.0,86.0,75.0,28449.0,343.0,0.9188088,0.2351462,0.6148788,0.23514618,2.9916956,0.23672834,29.71890473013227,-2.1026606908849588
